,Product,Brand,Price,Review
0,L'Oreal Paris Pure Clay Mask 50g [4 Types To Choose],L'OREAL PARIS,RM 21.45,"defaultdict(<class 'list'>, {5: ['I love it because it has strong cleansing activity, which clarifies skin to look smoother and feel cleaner.', ""I love love love this mask. It does its job well and didn't irritate my skin"", 'I liked the clay mask very much.. It help to clean and hydrating my skin.. Will purchase it again when promotion', 'this is lime my holy grail routine daily skincare', 'so far i  have tried loreal paris clay mask detoxify and clay mask hydration. LOVE BOTH OF THEM!!!!!\nDetoxify really helps with whitehead and blackheads and for those that have open pores.. It treat my redness and acne as well. Clay mask hydration was my favourite one! Really hydrated and moisturized my skin so much. After washed off , my skin feel so soft..', 'Almost finish and very nice to use. It help me open up my pore and clean it. Will directly use the pore stick to clean it after applying this mask. Love it']})"
1,Biore Pore Pack Citrus Crush 10pcs,BIORE,RM 14.00,"defaultdict(<class 'list'>, {5: ['really removes blackhead just in my first try ! will definitely repurchase it again !', 'Love the smell and design.. It does it works if u apply nicely'], 4: ['Good pore strips. Pulls a lot of black heads. Not the best one I have found but for the price it works fairly well.']})"
2,B.liv Pulp Mask 1pcs [4 Types To Choose],B.LIV,RM 7.90,"defaultdict(<class 'list'>, {1: ['I chose the brightening one but did not realise beforehand that it contains wine extract. I am not too sure whether Muslims can use it so I gave it away.'], 3: ['Bought it during sales period to try, it is a moisturising face mask. But i would go for another brands that have similar price point.'], 4: ['moisture and feels good when i put on my face', 'hydrates my skin but need to use regularly', 'very moisturising. suits for sensitive skin like mine'], 2: ['Can clean my acne, but again..']})"
3,Wonjin Effect Water Bomb Mask 10pcs/box [EXP AUG'20],WONJIN EFFECT,RM 28.00,"defaultdict(<class 'list'>, {5: ['Confirm will repurchase. For my skin it is easy to absorb and not sticky, after massage normally already absorb it all and fell even better after wasing it of', 'Easy to use and very hydrating for my skin. I like the user friendly packaging. Totally recommended!', 'My skin is super dry, i wear this mask once a weak. And i love how this mask hydrate my face. Its worth. Gonna repeat this soon', 'The mask is thin and moist. The toner and essence can be use twice. Toner and essence no scent, however yes for mask, it smell good. Save this mask on wish list for quite a long time. UnIntentionally found out it was in promo. So I bought 4 boxes with low price.', 'It makes my skin become more hydrating!'], 3: ['Very sticky to me . The packaging is user friendly']})"
4,Yadah Vitalizing Mask Pack 3pcs,YADAH,RM 12.90,"defaultdict(<class 'list'>, {5: ['Suitable for sensitive skin. Good', 'good product quality. may repurchase in the future when on sale'], 2: ['my favourite sheets masks ever!!', 'Feeling very comfortable with the thick cotton mask, nice!', 'Value for money everyday masks'], 4: ['A quality mask soaked with generous amounts of serum. Plus, it was on a great price!']})"
5,Naruko Raw Job’s Tears Supercritical CO2 Pore Minimizing & Brightening Mask *红薏仁超临界毛孔美白面膜 (10pcs/box),NARUKO,RM 30.40,"defaultdict(<class 'list'>, {5: ['I really love this mask, they give a very generous amount of essence and the price is very reasonable.', 'This mask make my face look white and smooth. Really suitable to my face.', ""Best sheet mask from Naruko mask series! The mask is so smooth and it'll leave your face with healthy glow effect after using this."", 'First time bought this, and the effect is so so only for me. But is quite moisture', ""I doesn't feel any changes after apply the mask but overall quite ok.""], 4: [""Holy grail for my skin. I'll give it 5 stars if they can reduce the scent in it.""]})"
6,Yadah Soothing Mask Pack 3pcs,YADAH,RM 12.90,"defaultdict(<class 'list'>, {5: ['I like all yadah masks because the cotton used for the mask are soft and it moisturise my skin right away', 'I use this mask when my skin burnt and irritating. It really works!'], 2: ['very soothing after wearing this mask', 'Nice to use, will purchase again'], 4: ['Got it at a great price, a good quality mask.', 'Very soothing... got it during promotion.. will puchase again']})"
7,Yadah Brightening Mask Pack 3pcs,YADAH,RM 11.50,"defaultdict(<class 'list'>, {5: ['I like this mask so much... it brighten my skin tone and there is more essence cointain in the mask', 'This mask is very moisturising and the price is very reasonable. The cotton used is so soft too', 'Good and adhesive to skin. No fragrance.'], 2: ['Not bad. Just like normal mask', 'Best mask! Inexpensive, easy to get, easy to use. Will repeat again'], 3: ['Not a fan of the scent but the quality of the mask is good.']})"
8,Naruko Tea Tree Shine Control & Blemish Clear Mask 茶树神奇痘痘黑面膜 (8pcs/box),NARUKO,RM 30.40,"defaultdict(<class 'list'>, {2: [""doesn't seem to be very effective...""], 5: ['Really make my skin Hydrate. Always wear it before sleep n the next morning, I can feel the softness of my skin. Really love this products', 'One of the fav black mask. Like the refresh and cooling effect during the mask. Gonna repurchase it!', 'I love Naruko mask! It really works for my skin', 'Good to use. My very first time to try this mask special for pimples skin. Very satisfied with the result after using it. It really can reduce and soothe my pimple skin. Fast delivery.', ""It's great for oily skin..nice to use""]})"
9,JM Solution Water Luminous S.O.S. Ringer Mask 10pcs,JM SOLUTION,RM 89.00,"defaultdict(<class 'list'>, {4: ['Moisturising till the next morning! Definitely will repurchase', 'Moisturing and the skin feel tighten after the mask. Teh size of mask fit my face well and the thickness of mask also suitable designed'], 5: ['This mask really hydrate my skin, will repurchase again', 'Super moist, repurchase few times already', 'effective in hydrating the skin\nnot suitable for oily skin', 'Highly recommended..especially if use it after put into fridge...']})"
10,Jayeon Pearl Whitening Mask 30pcs,JAYEON,RM 49.00,"defaultdict(<class 'list'>, {})"
