,Product,Brand,Price,Review
0,Hada Labo + Oil Control Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {5: ['Feels good to apply! Feels well hydrated after using', 'Makes my skin softer  and smooth.', 'good n moisture.... suitable for oily skin'], 2: ['This mask i use it as a quick mask saver!!!', 'Lightweight mask... In love gile sbb texturenya light sgt mcm air x sticky mcm brand lain...lepas pakai rasa moist je kulit.. Will repurchase...']})"
1,Dr.Jart+ Dermask Vital Hydra Solution 5pcs/box,DR.JART+,RM 80.00,"defaultdict(<class 'list'>, {5: ['Love this mask , super hydrating', 'Love this mask so much, gentle and hydrating!!!', 'Love this mask! It is very moisture.', 'Very moisturising face mask. Non sticky.', 'Smell good, very hydrating and non-sticky, love it'], 4: ['It is very moisture. My face is bright and full of water']})"
2,Senka Perfect Aqua Bouncy Moist Mask 1pcs,SENKA,RM 11.90,"defaultdict(<class 'list'>, {})"
3,Dr.Jart+ Shake & Shot Rubber Mask [4 Types To Choose],DR.JART+,RM 32.40,"defaultdict(<class 'list'>, {4: ['Easy to use ,very moisturizing', 'A very good product but a bit pricey'], 5: ['The texture  of the rubber mask is very comfortable and after using this mask I feel my skin very moist!', ""haven't use it but like the packages and the free gift"", 'It was very moisturising but a little pricey'], 1: [""the instant effect is real.. my face is glowing after using it BUT... after few days.. my face started to break out badly... so i'm not gonna buy this again TwT""]})"
4,Holika Holika Pig Clear Blackhead 3-Step Kit (No Water) 3pcs,HOLIKA HOLIKA,RM 38.70,"defaultdict(<class 'list'>, {})"
5,Hada Labo + Firming Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {5: ['Feels refreshing! The mask is very soothing', 'Very good product. Will purchase again.']})"
6,Dr.Morita Silk Fiber Whitening Mask 3pcs/box,DR.MORITA 森田药妆,RM 25.50,"defaultdict(<class 'list'>, {2: ['Very value, very smooth mask i have been use'], 4: [""dr morita's silk fibre mask is quite alright. i dont notice amazing immediate effects but it feels good on skin. dont mind repurchasing on good sales""]})"
7,Senka Perfect Aqua Bouncy Bright Mask 1pcs,SENKA,RM 9.90,"defaultdict(<class 'list'>, {2: ['So so on the result of mask, still prefer the old version of mask']})"
8,Dr.Jou Six Essence Hyaluronic Acid Sensitive Skin Soothing Moisture Mask Sheet (5pcs/box),DR.JOU,RM 36.70,"defaultdict(<class 'list'>, {5: ['Hydrating for my sensitive skin, no irritation, and the paper sheet is nice.', 'Does not irritate the skin. Worth price. Recommend.', 'nice mask suitable with my sensitive skin'], 3: ['An OK mask, doesnt do much to my skin...'], 4: ['I love the mask so much as it really makes my skin feels good and soothe! Highly recommended.', 'for this line of dr.jou mask ive tried the whitening n revitalising. so far im liking this the best. the essence doesnt sting my eyes n it feels nice on my skin.']})"
9,Acelabs Diamond Luminous Intense Brightening Mask 10pcs [EXP NOV'20],ACELABS,RM 69.00,"defaultdict(<class 'list'>, {5: ['This sheet fits my face and thin which i very like it! Recommended!', 'very hydrating and brightening mask, has a nice fitting and smells really pleasant too~ highly recommended', 'very good quality mask and it has lots of essence'], 2: ['There are lots of essence in the mask pack. Face is moisturized and brighten after using it.', 'Bought for my brothers, he says the effects is so so. More like hydrating mask, nothing much'], 4: ['Each sheet of mask is highly concentrated and nourishing for the skin']})"
